REQUEST_ID,ACTIVITY,START_DATE,END_DATE,CE_UO,ROLE,AUTOMATIC,CLOSURE_TYPE,CLOSURE_REASON,WORKING_STATE,CE_STATE,GENERAL_STATE
201812005876,ACTIVITY 2,2018-12-17 12:41:01.000,2018-12-19 14:59:59.000,CE_UO 1,BACK-OFFICE,HUMAN,Bank Recess,1 - Client lost,Completed,S040,Conclusa regolarmente
201812005876,ACTIVITY 1,2018-12-19 14:59:59.000,2018-12-19 15:03:17.000,CE_UO 1,BACK-OFFICE,HUMAN,Bank Recess,1 - Client lost,Completed,S050,Conclusa regolarmente
201812005876,ACTIVITY 6,2018-12-19 15:03:17.000,2018-12-31 07:57:56.000,CE_UO 1,BACK-OFFICE,HUMAN,Bank Recess,1 - Client lost,Completed,S051,Conclusa regolarmente
201811007817,ACTIVITY 8,2018-11-21 11:11:12.000,2018-11-21 11:11:25.000,CE_UO 153,APPLICANT,HUMAN,Bank Recess,1 - Client lost,Completed,S000,Conclusa regolarmente
201811007817,ACTIVITY 10,2018-11-21 11:11:25.000,2018-11-21 11:12:04.000,CE_UO 11,APPLICANT,HUMAN,Bank Recess,1 - Client lost,Completed,S010,Conclusa regolarmente
201811007817,ACTIVITY 3,2018-11-21 11:12:04.000,2018-11-22 09:25:29.000,CE_UO 120,DIRECTOR,HUMAN,Bank Recess,1 - Client lost,Completed,S020,Conclusa regolarmente
201811007817,ACTIVITY 2,2018-11-22 09:25:29.000,2018-11-27 10:45:47.000,CE_UO 1,BACK-OFFICE,HUMAN,Bank Recess,1 - Client lost,Completed,S040,Conclusa regolarmente
201811007817,ACTIVITY 1,2018-11-27 10:45:47.000,2018-11-27 10:47:10.000,CE_UO 1,BACK-OFFICE,HUMAN,Bank Recess,1 - Client lost,Completed,S050,Conclusa regolarmente
201811010935,ACTIVITY 8,2018-11-29 08:49:40.000,2018-11-29 08:49:57.000,CE_UO 143,APPLICANT,HUMAN,Client Recess,1 - Client lost,Completed,S000,Conclusa regolarmente
201811010935,ACTIVITY 9,2018-11-29 08:49:57.000,2018-11-29 08:51:22.000,CE_UO 279,DIRECTOR,HUMAN,Client Recess,1 - Client lost,Completed,S005,Conclusa regolarmente
201811010935,ACTIVITY 10,2018-12-04 11:59:54.000,2018-12-04 12:00:20.000,CE_UO 279,APPLICANT,HUMAN,Client Recess,1 - Client lost,Completed,S010,Conclusa regolarmente
201811010935,ACTIVITY 2,2018-12-04 12:00:20.000,2018-12-07 13:26:13.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,1 - Client lost,Completed,S040,Conclusa regolarmente
201810003700,ACTIVITY 8,2018-10-10 11:26:30.000,2018-10-10 11:28:00.000,CE_UO 165,APPLICANT,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S000,Conclusa regolarmente
201810003700,ACTIVITY 10,2018-10-10 11:28:00.000,2018-10-10 11:28:31.000,CE_UO 11,APPLICANT,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S010,Conclusa regolarmente
201810003700,ACTIVITY 3,2018-10-10 11:28:31.000,2018-10-15 09:24:19.000,CE_UO 472,DIRECTOR,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S020,Conclusa regolarmente
201812000764,ACTIVITY 8,2018-12-04 10:42:22.000,2018-12-04 10:43:05.000,CE_UO 61,APPLICANT,HUMAN,Porting,,Completed,S000,Conclusa regolarmente
201812000764,ACTIVITY 15,2018-12-04 10:43:05.000,2018-12-11 12:35:09.000,CE_UO 28,APPLICANT,HUMAN,Porting,,Completed,S031,Conclusa regolarmente
201812000764,ACTIVITY 1,2018-12-11 12:35:09.000,2018-12-11 12:39:10.000,CE_UO 28,BACK-OFFICE,HUMAN,Porting,,Completed,S050,Conclusa regolarmente
201812002216,ACTIVITY 8,2018-12-06 15:58:39.000,2018-12-06 16:00:04.000,CE_UO 119,APPLICANT,HUMAN,Bank Recess,1 - Client lost,Completed,S000,Conclusa regolarmente
201812002216,ACTIVITY 10,2018-12-06 16:00:04.000,2018-12-06 16:00:26.000,CE_UO 11,APPLICANT,HUMAN,Bank Recess,1 - Client lost,Completed,S010,Conclusa regolarmente
201812007383,ACTIVITY 8,2018-12-19 15:33:41.000,2018-12-19 15:33:55.000,CE_UO 372,APPLICANT,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S000,Conclusa regolarmente
201812007383,ACTIVITY 10,2018-12-19 15:33:55.000,2018-12-19 15:38:46.000,CE_UO 11,APPLICANT,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S010,Conclusa regolarmente
201812007383,ACTIVITY 3,2018-12-19 15:38:46.000,2018-12-19 15:52:57.000,CE_UO 131,DIRECTOR,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S020,Conclusa regolarmente
201812009753,ACTIVITY 8,2019-01-02 13:04:57.000,2019-01-02 13:08:14.000,CE_UO 279,APPLICANT,HUMAN,Client Recess,7 - Keep other relationships. Same dip,Completed,S000,Conclusa regolarmente
201812009753,ACTIVITY 9,2019-01-02 13:08:14.000,2019-01-02 17:27:00.000,CE_UO 212,DIRECTOR,HUMAN,Client Recess,7 - Keep other relationships. Same dip,Completed,S005,Conclusa regolarmente
201812009753,ACTIVITY 10,2019-02-01 16:48:08.000,2019-02-01 16:49:17.000,CE_UO 212,APPLICANT,HUMAN,Client Recess,7 - Keep other relationships. Same dip,Completed,S010,Conclusa regolarmente
201812009753,ACTIVITY 2,2019-02-01 16:49:17.000,2019-02-11 11:14:13.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,7 - Keep other relationships. Same dip,Completed,S040,Conclusa regolarmente
201811007577,ACTIVITY 8,2018-11-20 17:20:12.000,2018-11-20 17:21:17.000,CE_UO 330,APPLICANT,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S000,Conclusa regolarmente
201811007577,ACTIVITY 10,2018-11-20 17:21:17.000,2018-11-30 08:36:03.000,CE_UO 11,APPLICANT,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S010,Conclusa regolarmente
201811007577,ACTIVITY 3,2018-11-30 08:36:03.000,2018-11-30 09:27:31.000,CE_UO 385,DIRECTOR,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S020,Conclusa regolarmente
201811007577,ACTIVITY 2,2018-11-30 09:27:31.000,2018-11-30 09:38:18.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S040,Conclusa regolarmente
201810000294,ACTIVITY 8,2018-10-01 13:29:04.000,2018-10-01 13:30:00.000,CE_UO 399,APPLICANT,HUMAN,Porting,,Completed,S000,Conclusa regolarmente
201810000294,ACTIVITY 15,2018-10-01 13:30:00.000,2018-10-18 17:31:48.000,CE_UO 432,APPLICANT,HUMAN,Porting,,Completed,S031,Conclusa regolarmente
201810000294,ACTIVITY 1,2018-10-18 17:31:48.000,2018-10-18 17:35:22.000,CE_UO 432,BACK-OFFICE,HUMAN,Porting,,Completed,S050,Conclusa regolarmente
201810008348,ACTIVITY 8,2018-10-22 12:59:39.000,2018-10-22 13:00:17.000,CE_UO 306,APPLICANT,HUMAN,Client Recess,4 - Open new bank account. Same dip,Completed,S000,Conclusa regolarmente
201810008348,ACTIVITY 10,2018-10-22 13:00:17.000,2018-10-22 13:03:21.000,CE_UO 11,APPLICANT,HUMAN,Client Recess,4 - Open new bank account. Same dip,Completed,S010,Conclusa regolarmente
201810008348,ACTIVITY 3,2018-10-22 13:03:21.000,2018-10-30 12:10:32.000,CE_UO 417,DIRECTOR,HUMAN,Client Recess,4 - Open new bank account. Same dip,Completed,S020,Conclusa regolarmente
201810008348,ACTIVITY 2,2018-10-30 12:10:32.000,2018-10-30 12:34:20.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,4 - Open new bank account. Same dip,Completed,S040,Conclusa regolarmente
201810008348,ACTIVITY 1,2018-10-30 12:34:20.000,2018-10-30 12:35:01.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,4 - Open new bank account. Same dip,Completed,S050,Conclusa regolarmente
201810010157,ACTIVITY 8,2018-10-25 15:12:58.000,2018-10-25 15:13:21.000,CE_UO 347,APPLICANT,HUMAN,Client Recess,1 - Client lost,Completed,S000,Conclusa regolarmente
201810003133,ACTIVITY 8,2018-10-09 10:54:00.000,2018-10-09 10:55:30.000,CE_UO 343,APPLICANT,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S000,Conclusa regolarmente
201810003133,ACTIVITY 10,2018-10-09 10:55:30.000,2018-10-09 11:02:16.000,CE_UO 11,APPLICANT,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S010,Conclusa regolarmente
201810003133,ACTIVITY 3,2018-10-09 11:02:16.000,2018-10-09 11:32:41.000,CE_UO 62,DIRECTOR,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S020,Conclusa regolarmente
201810008945,ACTIVITY 8,2018-10-23 12:24:21.000,2018-10-23 12:26:33.000,CE_UO 374,APPLICANT,HUMAN,Inheritance,,Completed,S000,Conclusa regolarmente
201811002347,ACTIVITY 8,2018-11-07 16:37:43.000,2018-11-07 16:37:52.000,CE_UO 354,APPLICANT,HUMAN,Client Recess,1 - Client lost,Completed,S000,Conclusa regolarmente
201811002347,ACTIVITY 9,2018-11-07 16:37:52.000,2018-11-07 16:50:15.000,CE_UO 536,DIRECTOR,HUMAN,Client Recess,1 - Client lost,Completed,S005,Conclusa regolarmente
201811002347,ACTIVITY 10,2018-11-07 16:52:22.000,2018-11-07 16:55:22.000,CE_UO 536,APPLICANT,HUMAN,Client Recess,1 - Client lost,Completed,S010,Conclusa regolarmente
201810006582,ACTIVITY 8,2018-10-17 14:57:31.000,2018-10-17 14:57:52.000,CE_UO 338,APPLICANT,HUMAN,Bank Recess,,Completed,S000,Conclusa regolarmente
201810006582,ACTIVITY 2,2018-10-17 14:57:52.000,2018-10-17 14:58:41.000,CE_UO 11,BACK-OFFICE,HUMAN,Bank Recess,,Completed,S040,Conclusa regolarmente
201810006582,ACTIVITY 1,2018-10-17 14:58:41.000,2018-10-17 14:59:25.000,CE_UO 228,BACK-OFFICE,HUMAN,Bank Recess,,Completed,S050,Conclusa regolarmente
201810006582,ACTIVITY 6,2018-10-17 14:59:25.000,2018-10-19 03:32:13.000,CE_UO 228,BACK-OFFICE,HUMAN,Bank Recess,,Completed,S051,Conclusa regolarmente
201811005454,ACTIVITY 8,2018-11-14 17:29:32.000,2018-11-14 17:31:20.000,CE_UO 59,APPLICANT,HUMAN,Client Recess,1 - Client lost,Completed,S000,Conclusa regolarmente
201811005454,ACTIVITY 9,2018-11-14 17:31:20.000,2018-11-20 09:41:42.000,CE_UO 140,DIRECTOR,HUMAN,Client Recess,1 - Client lost,Completed,S005,Conclusa regolarmente
201811005454,ACTIVITY 10,2018-11-20 09:48:00.000,2018-11-20 09:48:38.000,CE_UO 140,APPLICANT,HUMAN,Client Recess,1 - Client lost,Completed,S010,Conclusa regolarmente
201811005454,ACTIVITY 2,2018-11-20 09:48:38.000,2018-11-23 16:41:37.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,1 - Client lost,Completed,S040,Conclusa regolarmente
201811005454,ACTIVITY 1,2018-11-23 16:41:37.000,2018-11-23 16:44:43.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,1 - Client lost,Completed,S050,Conclusa regolarmente
201811005454,ACTIVITY 6,2018-11-23 16:44:43.000,2018-11-27 03:09:22.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,1 - Client lost,Completed,S051,Conclusa regolarmente
201811003872,ACTIVITY 8,2018-11-12 10:41:29.000,2018-11-12 10:41:55.000,CE_UO 364,APPLICANT,HUMAN,Inheritance,,Completed,S000,Conclusa regolarmente
201811003872,ACTIVITY 10,2018-11-12 10:41:55.000,2018-11-12 10:44:30.000,CE_UO 11,APPLICANT,HUMAN,Inheritance,,Completed,S010,Conclusa regolarmente
201811003872,ACTIVITY 3,2018-11-12 10:44:30.000,2018-11-12 15:44:19.000,CE_UO 76,DIRECTOR,HUMAN,Inheritance,,Completed,S020,Conclusa regolarmente
201811003872,ACTIVITY 2,2018-11-12 15:44:19.000,2018-11-22 12:46:17.000,CE_UO 1,BACK-OFFICE,HUMAN,Inheritance,,Completed,S040,Conclusa regolarmente
201811003872,ACTIVITY 1,2018-11-22 12:46:17.000,2018-11-22 12:50:15.000,CE_UO 1,BACK-OFFICE,HUMAN,Inheritance,,Completed,S050,Conclusa regolarmente
201811003872,ACTIVITY 6,2018-11-22 12:50:15.000,2018-11-24 03:10:10.000,CE_UO 1,BACK-OFFICE,HUMAN,Inheritance,,Completed,S051,Conclusa regolarmente
201811003872,ACTIVITY 11,2018-11-24 03:10:10.000,2018-11-28 19:04:42.000,CE_UO 1,BACK-OFFICE,HUMAN,Inheritance,,Completed,S055,Conclusa regolarmente
201810011824,ACTIVITY 8,2018-10-30 17:55:29.000,2018-10-30 17:56:30.000,CE_UO 212,APPLICANT,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S000,Conclusa regolarmente
201810011824,ACTIVITY 10,2018-10-30 17:56:30.000,2018-10-30 17:56:56.000,CE_UO 11,APPLICANT,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S010,Conclusa regolarmente
201810011824,ACTIVITY 3,2018-10-30 17:56:56.000,2018-10-30 17:59:33.000,CE_UO 40,DIRECTOR,HUMAN,Client Recess,2 - Keep bank account. Same dip,Completed,S020,Conclusa regolarmente
201811001881,ACTIVITY 8,2018-11-07 09:15:05.000,2018-11-07 09:15:42.000,CE_UO 236,APPLICANT,HUMAN,Client Recess,1 - Client lost,Completed,S000,Conclusa regolarmente
201811001881,ACTIVITY 9,2018-11-07 09:15:42.000,2018-11-07 09:18:42.000,CE_UO 103,DIRECTOR,HUMAN,Client Recess,1 - Client lost,Completed,S005,Conclusa regolarmente
201811001881,ACTIVITY 10,2018-11-13 14:52:05.000,2018-11-13 14:52:38.000,CE_UO 103,APPLICANT,HUMAN,Client Recess,1 - Client lost,Completed,S010,Conclusa regolarmente
201811001881,ACTIVITY 2,2018-11-13 14:52:38.000,2018-11-16 10:11:42.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,1 - Client lost,Completed,S040,Conclusa regolarmente
201812006190,ACTIVITY 8,2018-12-17 15:20:32.000,2018-12-17 15:20:46.000,CE_UO 408,APPLICANT,HUMAN,Client Recess,,Completed,S000,Conclusa regolarmente
201812006190,ACTIVITY 2,2018-12-17 15:20:46.000,2018-12-17 15:21:18.000,CE_UO 11,BACK-OFFICE,HUMAN,Client Recess,,Completed,S040,Conclusa regolarmente
201812006190,ACTIVITY 1,2018-12-17 15:21:18.000,2018-12-17 15:22:54.000,CE_UO 228,BACK-OFFICE,HUMAN,Client Recess,,Completed,S050,Conclusa regolarmente
201812006190,ACTIVITY 6,2018-12-17 15:22:54.000,2018-12-19 03:26:26.000,CE_UO 228,BACK-OFFICE,HUMAN,Client Recess,,Completed,S051,Conclusa regolarmente
201812006190,ACTIVITY 11,2018-12-19 03:26:26.000,2018-12-19 16:30:42.000,CE_UO 228,BACK-OFFICE,HUMAN,Client Recess,,Completed,S055,Conclusa regolarmente
201810006659,ACTIVITY 8,2018-10-17 16:08:07.000,2018-10-17 16:09:05.000,CE_UO 205,APPLICANT,HUMAN,Client Recess,,Completed,S000,Conclusa regolarmente
201810006659,ACTIVITY 2,2018-10-17 16:09:05.000,2018-10-17 16:09:35.000,CE_UO 11,BACK-OFFICE,HUMAN,Client Recess,,Completed,S040,Conclusa regolarmente
201810006659,ACTIVITY 1,2018-10-17 16:09:35.000,2018-10-17 16:11:20.000,CE_UO 228,BACK-OFFICE,HUMAN,Client Recess,,Completed,S050,Conclusa regolarmente
201811001422,ACTIVITY 8,2018-11-06 10:54:44.000,2018-11-06 10:56:35.000,CE_UO 295,APPLICANT,HUMAN,Porting,,Completed,S000,Conclusa regolarmente
201811001422,ACTIVITY 15,2018-11-06 10:56:35.000,2018-11-19 11:41:56.000,CE_UO 432,APPLICANT,HUMAN,Porting,,Completed,S031,Conclusa regolarmente
201811001422,ACTIVITY 1,2018-11-19 11:41:56.000,2018-11-19 11:42:53.000,CE_UO 432,BACK-OFFICE,HUMAN,Porting,,Completed,S050,Conclusa regolarmente
201811001422,ACTIVITY 6,2018-11-19 11:42:53.000,2018-11-21 03:12:37.000,CE_UO 432,BACK-OFFICE,HUMAN,Porting,,Completed,S051,Conclusa regolarmente
201810003451,ACTIVITY 8,2018-10-09 16:11:04.000,2018-10-09 16:13:29.000,CE_UO 270,APPLICANT,HUMAN,Client Recess,1 - Client lost,Completed,S000,Conclusa regolarmente
201810003451,ACTIVITY 14,2018-10-15 14:46:34.000,2018-11-22 09:47:43.000,CE_UO 668,DIRECTOR,HUMAN,Client Recess,1 - Client lost,Completed,S008,Conclusa regolarmente
201810003451,ACTIVITY 2,2018-11-22 09:47:43.000,2018-11-23 08:16:09.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,1 - Client lost,Completed,S040,Conclusa regolarmente
201810003451,ACTIVITY 1,2018-11-23 08:16:09.000,2018-11-23 08:16:34.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,1 - Client lost,Completed,S050,Conclusa regolarmente
201811002692,ACTIVITY 8,2018-11-08 11:17:02.000,2018-11-08 11:17:21.000,CE_UO 99,APPLICANT,HUMAN,Bank Recess,1 - Client lost,Completed,S000,Conclusa regolarmente
201811002692,ACTIVITY 10,2018-11-08 11:17:21.000,2018-11-08 11:18:00.000,CE_UO 11,APPLICANT,HUMAN,Bank Recess,1 - Client lost,Completed,S010,Conclusa regolarmente
201810006187,ACTIVITY 8,2018-10-17 09:51:51.000,2018-10-17 09:52:23.000,CE_UO 301,APPLICANT,HUMAN,Client Recess,1 - Client lost,Completed,S000,Conclusa regolarmente
