case,event,startTime,completeTime,REG_DATE,AMOUNT_REQ,org:resource
209464,A_SUBMITTED,2012/02/14 21:26:46.310,2012/02/14 21:26:46.310,2012/02/14 21:26:46.310,2000,R112
213894,A_SUBMITTED,2012/02/28 20:49:35.923,2012/02/28 20:49:35.923,2012/02/28 20:49:35.923,25000,R112
213894,A_PARTLYSUBMITTED,2012/02/28 20:49:36.173,2012/02/28 20:49:36.173,2012/02/28 20:49:35.923,25000,R112
213894,A_PREACCEPTED,2012/02/28 20:50:10.009,2012/02/28 20:50:10.009,2012/02/28 20:49:35.923,25000,R112
213894,A_PREACCEPTED,2012/02/28 20:50:10.009,2012/02/28 20:50:10.009,2012/02/28 20:49:35.923,25000,R112
213894,W_Completeren aanvraag,2012/02/29 10:33:30.220,2012/02/29 10:36:04.868,2012/02/28 20:49:35.923,25000,R10912
213894,W_Completeren aanvraag,2012/03/01 14:33:19.002,2012/03/01 14:34:38.345,2012/02/28 20:49:35.923,25000,R11299
213894,W_Completeren aanvraag,2012/03/02 09:43:34.128,2012/03/02 09:46:19.521,2012/02/28 20:49:35.923,25000,R11179
213894,W_Completeren aanvraag,2012/03/02 18:23:55.970,2012/03/02 18:25:13.552,2012/02/28 20:49:35.923,25000,R11302
213894,W_Completeren aanvraag,2012/03/06 10:53:31.523,2012/03/06 10:58:02.348,2012/02/28 20:49:35.923,25000,R11299
213894,W_Completeren aanvraag,2012/03/06 15:53:23.316,2012/03/06 15:58:00.058,2012/02/28 20:49:35.923,25000,R11299
213255,A_SUBMITTED,2012/02/27 12:54:26.599,2012/02/27 12:54:26.599,2012/02/27 12:54:26.599,5000,R112
213255,A_PARTLYSUBMITTED,2012/02/27 12:54:27.047,2012/02/27 12:54:27.047,2012/02/27 12:54:26.599,5000,R112
209948,A_SUBMITTED,2012/02/15 22:17:37.385,2012/02/15 22:17:37.385,2012/02/15 22:17:37.385,4500,R112
209948,A_PARTLYSUBMITTED,2012/02/15 22:17:37.566,2012/02/15 22:17:37.566,2012/02/15 22:17:37.385,4500,R112
209948,A_PARTLYSUBMITTED,2012/02/15 22:17:37.566,2012/02/15 22:17:37.566,2012/02/15 22:17:37.385,4500,R112
209948,W_Afhandelen leads,2012/02/16 09:31:44.544,2012/02/16 09:35:09.431,2012/02/15 22:17:37.385,4500,R11009
209948,W_Afhandelen leads,2012/02/16 10:42:09.458,2012/02/16 10:47:03.881,2012/02/15 22:17:37.385,4500,R11009
202551,A_SUBMITTED,2012/01/20 12:54:25.578,2012/01/20 12:54:25.578,2012/01/20 12:54:25.577,10000,R112
202551,A_PARTLYSUBMITTED,2012/01/20 12:54:25.961,2012/01/20 12:54:25.961,2012/01/20 12:54:25.577,10000,R112
202551,A_PREACCEPTED,2012/01/20 12:54:59.382,2012/01/20 12:54:59.382,2012/01/20 12:54:25.577,10000,R112
202551,A_PREACCEPTED,2012/01/20 12:54:59.382,2012/01/20 12:54:59.382,2012/01/20 12:54:25.577,10000,R112
202551,W_Completeren aanvraag,2012/01/20 13:54:15.936,2012/01/20 13:59:37.828,2012/01/20 12:54:25.577,10000,R10912
202551,W_Completeren aanvraag,2012/01/20 14:04:17.851,2012/01/20 14:07:47.926,2012/01/20 12:54:25.577,10000,R10912
202551,W_Completeren aanvraag,2012/01/20 14:18:31.708,2012/01/20 14:21:21.508,2012/01/20 12:54:25.577,10000,R10912
212343,A_SUBMITTED,2012/02/23 22:28:41.500,2012/02/23 22:28:41.500,2012/02/23 22:28:41.499,5000,R112
212343,A_PARTLYSUBMITTED,2012/02/23 22:28:41.727,2012/02/23 22:28:41.727,2012/02/23 22:28:41.499,5000,R112
208841,A_SUBMITTED,2012/02/13 14:27:43.820,2012/02/13 14:27:43.820,2012/02/13 14:27:43.820,100,R112
208841,A_PARTLYSUBMITTED,2012/02/13 14:27:43.924,2012/02/13 14:27:43.924,2012/02/13 14:27:43.820,100,R112
204245,A_SUBMITTED,2012/01/26 15:11:30.811,2012/01/26 15:11:30.811,2012/01/26 15:11:30.811,5000,R112
206766,A_SUBMITTED,2012/02/06 12:40:28.605,2012/02/06 12:40:28.605,2012/02/06 12:40:28.604,8000,R112
204583,A_SUBMITTED,2012/01/28 11:58:56.000,2012/01/28 11:58:56.000,2012/01/28 11:58:56.000,3000,R112
204583,A_PARTLYSUBMITTED,2012/01/28 11:58:57.402,2012/01/28 11:58:57.402,2012/01/28 11:58:56.000,3000,R112
204583,A_PARTLYSUBMITTED,2012/01/28 11:58:57.402,2012/01/28 11:58:57.402,2012/01/28 11:58:56.000,3000,R112
204583,W_Afhandelen leads,2012/01/28 11:59:31.740,2012/01/28 12:13:57.087,2012/01/28 11:58:56.000,3000,R10913
204583,W_Afhandelen leads,2012/01/28 12:42:18.651,2012/01/28 12:42:32.317,2012/01/28 11:58:56.000,3000,R10982
204583,W_Afhandelen leads,2012/01/28 14:30:35.116,2012/01/28 14:30:40.738,2012/01/28 11:58:56.000,3000,R10228
204583,W_Afhandelen leads,2012/01/28 15:08:33.800,2012/01/28 15:10:18.947,2012/01/28 11:58:56.000,3000,R10913
204583,W_Afhandelen leads,2012/01/28 15:10:29.538,2012/01/28 15:10:49.900,2012/01/28 11:58:56.000,3000,R10913
204583,W_Afhandelen leads,2012/01/28 15:15:40.702,2012/01/28 15:15:49.605,2012/01/28 11:58:56.000,3000,R10982
204583,W_Afhandelen leads,2012/01/28 15:55:37.196,2012/01/28 16:15:50.775,2012/01/28 11:58:56.000,3000,R10913
204583,A_PREACCEPTED,2012/01/28 16:15:49.530,2012/01/28 16:15:49.530,2012/01/28 11:58:56.000,3000,R10913
204583,A_PREACCEPTED,2012/01/28 16:15:49.530,2012/01/28 16:15:49.530,2012/01/28 11:58:56.000,3000,R10913
204583,W_Completeren aanvraag,2012/01/28 16:16:15.700,2012/01/28 16:22:57.189,2012/01/28 11:58:56.000,3000,R10913
204583,A_ACCEPTED,2012/01/28 16:18:48.108,2012/01/28 16:18:48.108,2012/01/28 11:58:56.000,3000,R10913
204583,A_FINALIZED,2012/01/28 16:22:46.758,2012/01/28 16:22:46.758,2012/01/28 11:58:56.000,3000,R10913
204583,O_SELECTED,2012/01/28 16:22:46.758,2012/01/28 16:22:46.758,2012/01/28 11:58:56.000,3000,R10913
204583,O_CREATED,2012/01/28 16:22:54.625,2012/01/28 16:22:54.625,2012/01/28 11:58:56.000,3000,R10913
204583,O_SENT,2012/01/28 16:22:54.653,2012/01/28 16:22:54.653,2012/01/28 11:58:56.000,3000,R10913
204583,O_SENT,2012/01/28 16:22:54.653,2012/01/28 16:22:54.653,2012/01/28 11:58:56.000,3000,R10913
204583,W_Nabellen offertes,2012/01/31 17:17:27.947,2012/01/31 17:19:03.355,2012/01/28 11:58:56.000,3000,R10913
204583,W_Nabellen offertes,2012/02/02 10:12:22.810,2012/02/02 10:12:55.019,2012/01/28 11:58:56.000,3000,R11259
204583,O_SENT_BACK,2012/02/02 10:12:52.259,2012/02/02 10:12:52.259,2012/01/28 11:58:56.000,3000,R11259
204583,O_SENT_BACK,2012/02/02 10:12:52.259,2012/02/02 10:12:52.259,2012/01/28 11:58:56.000,3000,R11259
204583,W_Valideren aanvraag,2012/02/08 12:17:46.999,2012/02/08 12:35:47.516,2012/01/28 11:58:56.000,3000,R10138
204583,A_ACTIVATED,2012/02/08 12:35:42.195,2012/02/08 12:35:42.195,2012/01/28 11:58:56.000,3000,R10138
211829,A_SUBMITTED,2012/02/22 16:08:29.703,2012/02/22 16:08:29.703,2012/02/22 16:08:29.703,5000,R112
211829,A_PARTLYSUBMITTED,2012/02/22 16:08:29.974,2012/02/22 16:08:29.974,2012/02/22 16:08:29.703,5000,R112
211829,A_PREACCEPTED,2012/02/22 16:09:11.987,2012/02/22 16:09:11.987,2012/02/22 16:08:29.703,5000,R112
211829,A_PREACCEPTED,2012/02/22 16:09:11.987,2012/02/22 16:09:11.987,2012/02/22 16:08:29.703,5000,R112
211829,W_Completeren aanvraag,2012/02/22 19:32:12.625,2012/02/22 19:36:21.930,2012/02/22 16:08:29.703,5000,R11003
211829,W_Completeren aanvraag,2012/02/23 11:23:30.620,2012/02/23 11:25:14.039,2012/02/22 16:08:29.703,5000,R11179
211829,W_Completeren aanvraag,2012/02/23 12:06:08.280,2012/02/23 12:08:47.608,2012/02/22 16:08:29.703,5000,R11121
211829,W_Completeren aanvraag,2012/02/23 14:37:53.067,2012/02/23 14:39:41.737,2012/02/22 16:08:29.703,5000,R11302
211829,W_Completeren aanvraag,2012/02/23 19:56:37.262,2012/02/23 19:57:30.830,2012/02/22 16:08:29.703,5000,R10881
211829,W_Completeren aanvraag,2012/02/24 19:32:49.769,2012/02/24 19:33:58.958,2012/02/22 16:08:29.703,5000,R11302
211829,W_Completeren aanvraag,2012/02/24 20:02:52.961,2012/02/24 20:08:18.895,2012/02/22 16:08:29.703,5000,R11201
199441,A_SUBMITTED,2012/01/09 21:43:18.338,2012/01/09 21:43:18.338,2012/01/09 21:43:18.337,45000,R112
199441,A_PARTLYSUBMITTED,2012/01/09 21:43:18.495,2012/01/09 21:43:18.495,2012/01/09 21:43:18.337,45000,R112
199441,A_PREACCEPTED,2012/01/09 21:44:03.173,2012/01/09 21:44:03.173,2012/01/09 21:43:18.337,45000,R112
199441,A_PREACCEPTED,2012/01/09 21:44:03.173,2012/01/09 21:44:03.173,2012/01/09 21:43:18.337,45000,R112
199441,W_Completeren aanvraag,2012/01/10 08:08:25.220,2012/01/10 08:11:01.408,2012/01/09 21:43:18.337,45000,R11049
199441,W_Completeren aanvraag,2012/01/10 08:11:03.819,2012/01/10 08:11:11.282,2012/01/09 21:43:18.337,45000,R11049
199441,W_Completeren aanvraag,2012/01/11 11:25:19.366,2012/01/11 11:25:32.884,2012/01/09 21:43:18.337,45000,R10932
199441,W_Completeren aanvraag,2012/01/11 13:47:32.775,2012/01/11 14:00:14.752,2012/01/09 21:43:18.337,45000,R10912
199441,A_ACCEPTED,2012/01/11 13:54:22.736,2012/01/11 13:54:22.736,2012/01/09 21:43:18.337,45000,R10912
199441,O_SELECTED,2012/01/11 14:00:10.890,2012/01/11 14:00:10.890,2012/01/09 21:43:18.337,45000,R10912
199441,A_FINALIZED,2012/01/11 14:00:10.890,2012/01/11 14:00:10.890,2012/01/09 21:43:18.337,45000,R10912
199441,O_CREATED,2012/01/11 14:00:12.208,2012/01/11 14:00:12.208,2012/01/09 21:43:18.337,45000,R10912
199441,O_SENT,2012/01/11 14:00:12.337,2012/01/11 14:00:12.337,2012/01/09 21:43:18.337,45000,R10912
199441,O_SENT,2012/01/11 14:00:12.337,2012/01/11 14:00:12.337,2012/01/09 21:43:18.337,45000,R10912
199441,W_Nabellen offertes,2012/01/11 14:00:31.687,2012/01/11 14:03:38.308,2012/01/09 21:43:18.337,45000,R10912
199441,O_SELECTED,2012/01/11 14:03:33.737,2012/01/11 14:03:33.737,2012/01/09 21:43:18.337,45000,R10912
199441,O_CANCELLED,2012/01/11 14:03:33.737,2012/01/11 14:03:33.737,2012/01/09 21:43:18.337,45000,R10912
199441,O_CREATED,2012/01/11 14:03:35.483,2012/01/11 14:03:35.483,2012/01/09 21:43:18.337,45000,R10912
199441,O_SENT,2012/01/11 14:03:35.543,2012/01/11 14:03:35.543,2012/01/09 21:43:18.337,45000,R10912
199441,O_SENT,2012/01/11 14:03:35.543,2012/01/11 14:03:35.543,2012/01/09 21:43:18.337,45000,R10912
199441,W_Nabellen offertes,2012/01/16 10:51:16.935,2012/01/16 10:52:01.186,2012/01/09 21:43:18.337,45000,R10899
199441,O_SENT_BACK,2012/01/16 10:51:58.591,2012/01/16 10:51:58.591,2012/01/09 21:43:18.337,45000,R10899
199441,O_SENT_BACK,2012/01/16 10:51:58.591,2012/01/16 10:51:58.591,2012/01/09 21:43:18.337,45000,R10899
199441,W_Valideren aanvraag,2012/01/18 08:40:56.445,2012/01/18 09:09:12.444,2012/01/09 21:43:18.337,45000,R10629
199441,W_Valideren aanvraag,2012/01/18 08:40:56.445,2012/01/18 09:09:12.444,2012/01/09 21:43:18.337,45000,R10629
199441,W_Nabellen incomplete dossiers,2012/01/18 10:47:00.758,2012/01/18 10:51:33.548,2012/01/09 21:43:18.337,45000,R10913
199441,W_Nabellen incomplete dossiers,2012/01/18 16:27:20.467,2012/01/18 16:27:40.075,2012/01/09 21:43:18.337,45000,R11259
199441,W_Nabellen incomplete dossiers,2012/01/19 09:04:17.656,2012/01/19 09:04:38.909,2012/01/09 21:43:18.337,45000,R11049
199441,W_Nabellen incomplete dossiers,2012/01/19 09:04:17.656,2012/01/19 09:04:38.909,2012/01/09 21:43:18.337,45000,R11049
199441,W_Valideren aanvraag,2012/01/19 13:31:37.797,2012/01/19 13:54:23.274,2012/01/09 21:43:18.337,45000,R10629
208307,A_SUBMITTED,2012/02/10 23:08:09.877,2012/02/10 23:08:09.877,2012/02/10 23:08:09.877,5000,R112
208307,A_PARTLYSUBMITTED,2012/02/10 23:08:10.334,2012/02/10 23:08:10.334,2012/02/10 23:08:09.877,5000,R112
208307,A_PARTLYSUBMITTED,2012/02/10 23:08:10.334,2012/02/10 23:08:10.334,2012/02/10 23:08:09.877,5000,R112
203573,A_SUBMITTED,2012/01/24 14:56:47.696,2012/01/24 14:56:47.696,2012/01/24 14:56:47.696,5000,R112
203573,A_PARTLYSUBMITTED,2012/01/24 14:56:47.962,2012/01/24 14:56:47.962,2012/01/24 14:56:47.696,5000,R112
203573,A_PARTLYSUBMITTED,2012/01/24 14:56:47.962,2012/01/24 14:56:47.962,2012/01/24 14:56:47.696,5000,R112
205002,A_SUBMITTED,2012/01/30 13:19:17.384,2012/01/30 13:19:17.384,2012/01/30 13:19:17.383,7500,R112
205002,A_PARTLYSUBMITTED,2012/01/30 13:19:17.890,2012/01/30 13:19:17.890,2012/01/30 13:19:17.383,7500,R112
205002,A_PARTLYSUBMITTED,2012/01/30 13:19:17.890,2012/01/30 13:19:17.890,2012/01/30 13:19:17.383,7500,R112
205002,W_Afhandelen leads,2012/01/30 14:57:52.471,2012/01/30 14:59:09.167,2012/01/30 13:19:17.383,7500,R11003
205002,A_PREACCEPTED,2012/01/30 14:59:07.904,2012/01/30 14:59:07.904,2012/01/30 13:19:17.383,7500,R11003
205002,A_PREACCEPTED,2012/01/30 14:59:07.904,2012/01/30 14:59:07.904,2012/01/30 13:19:17.383,7500,R11003
205002,W_Completeren aanvraag,2012/01/30 19:28:14.318,2012/01/30 19:30:15.531,2012/01/30 13:19:17.383,7500,R11119
213285,A_SUBMITTED,2012/02/27 14:26:50.434,2012/02/27 14:26:50.434,2012/02/27 14:26:50.434,4000,R112
213285,A_PARTLYSUBMITTED,2012/02/27 14:26:50.683,2012/02/27 14:26:50.683,2012/02/27 14:26:50.434,4000,R112
213285,A_PARTLYSUBMITTED,2012/02/27 14:26:50.683,2012/02/27 14:26:50.683,2012/02/27 14:26:50.434,4000,R112
210299,A_SUBMITTED,2012/02/17 07:27:24.328,2012/02/17 07:27:24.328,2012/02/17 07:27:24.321,17500,R112
210299,A_PARTLYSUBMITTED,2012/02/17 07:27:33.742,2012/02/17 07:27:33.742,2012/02/17 07:27:24.321,17500,R112
210299,A_PARTLYSUBMITTED,2012/02/17 07:27:33.742,2012/02/17 07:27:33.742,2012/02/17 07:27:24.321,17500,R112
210299,W_Afhandelen leads,2012/02/17 09:34:41.387,2012/02/17 10:04:14.483,2012/02/17 07:27:24.321,17500,R11121
212518,A_SUBMITTED,2012/02/24 15:38:31.534,2012/02/24 15:38:31.534,2012/02/24 15:38:31.533,3000,R112
210848,A_SUBMITTED,2012/02/19 16:04:49.286,2012/02/19 16:04:49.286,2012/02/19 16:04:49.285,10000,R112
210848,A_PARTLYSUBMITTED,2012/02/19 16:04:49.594,2012/02/19 16:04:49.594,2012/02/19 16:04:49.285,10000,R112
210848,A_PREACCEPTED,2012/02/19 16:05:25.291,2012/02/19 16:05:25.291,2012/02/19 16:04:49.285,10000,R112
210848,A_PREACCEPTED,2012/02/19 16:05:25.291,2012/02/19 16:05:25.291,2012/02/19 16:04:49.285,10000,R112
210848,W_Completeren aanvraag,2012/02/20 13:48:48.504,2012/02/20 13:51:50.760,2012/02/19 16:04:49.285,10000,R10861
210848,W_Completeren aanvraag,2012/02/20 14:19:16.751,2012/02/20 14:21:22.983,2012/02/19 16:04:49.285,10000,R11300
210848,W_Completeren aanvraag,2012/02/21 11:17:37.104,2012/02/21 11:41:58.330,2012/02/19 16:04:49.285,10000,R11019
210848,W_Completeren aanvraag,2012/02/21 11:42:50.621,2012/02/21 11:43:01.859,2012/02/19 16:04:49.285,10000,R11019
210848,W_Completeren aanvraag,2012/02/21 15:52:34.766,2012/02/21 15:54:21.322,2012/02/19 16:04:49.285,10000,R11302
210848,W_Completeren aanvraag,2012/02/22 12:17:26.114,2012/02/22 12:19:22.656,2012/02/19 16:04:49.285,10000,R11309
210848,W_Completeren aanvraag,2012/02/22 19:52:19.968,2012/02/22 19:53:07.445,2012/02/19 16:04:49.285,10000,R10861
208196,A_SUBMITTED,2012/02/10 16:27:46.389,2012/02/10 16:27:46.389,2012/02/10 16:27:46.389,15000,R112
208196,A_PARTLYSUBMITTED,2012/02/10 16:27:46.949,2012/02/10 16:27:46.949,2012/02/10 16:27:46.389,15000,R112
208196,A_PARTLYSUBMITTED,2012/02/10 16:27:46.949,2012/02/10 16:27:46.949,2012/02/10 16:27:46.389,15000,R112
208196,W_Afhandelen leads,2012/02/10 16:44:27.565,2012/02/10 16:46:04.181,2012/02/10 16:27:46.389,15000,R10629
208196,A_PREACCEPTED,2012/02/10 16:46:02.881,2012/02/10 16:46:02.881,2012/02/10 16:27:46.389,15000,R10629
208196,A_PREACCEPTED,2012/02/10 16:46:02.881,2012/02/10 16:46:02.881,2012/02/10 16:27:46.389,15000,R10629
208196,W_Completeren aanvraag,2012/02/10 19:57:09.505,2012/02/10 20:00:29.412,2012/02/10 16:27:46.389,15000,R10913
208196,W_Completeren aanvraag,2012/02/13 10:05:14.084,2012/02/13 10:06:42.988,2012/02/10 16:27:46.389,15000,R11000
208196,W_Completeren aanvraag,2012/02/13 16:06:37.506,2012/02/13 16:10:44.642,2012/02/10 16:27:46.389,15000,R11203
