CASE ID,Back-Office Adjustment Requested,Authorization Requested,Pending Request for acquittance of heirs,Explanations for Back-Office Adjustment Requested happening,Explanations for Back-Office Adjustment Requested not happening,Explanations for Authorization Requested happening,Explanations for Authorization Requested not happening,Explanations for Pending Request for acquittance of heirs happening,Explanations for Pending Request for acquittance of heirs not happening
201810000114,0.0,0.0,0.0,,CLOSURE_TYPE!=Bank Recess AND CLOSURE_TYPE=Client Recess AND CLOSURE_REASON=1 - Client lost,,CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess,,CLOSURE_TYPE!=Inheritance AND CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess
201810000206,0.0,0.0,0.0,,ACTIVITY=Service closure Request with network responsibility (-2) AND CE_UO=195 (-1),,ROLE=DIRECTOR AND ACTIVITY=Authorization Requested AND CLOSURE_REASON=1 - Client lost,,CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE!=Inheritance
201810000374,0.0,0.0,0.0,,,,CLOSURE_TYPE!=Bank Recess,,CLOSURE_TYPE!=Inheritance
201810000473,0.0,1.0,0.0,,CLOSURE_REASON=2 - Keep bank account. Same dip,CLOSURE_REASON=2 - Keep bank account. Same dip AND ACTIVITY=Service closure Request with network responsibility,,,CLOSURE_REASON=2 - Keep bank account. Same dip AND CLOSURE_TYPE!=Inheritance
201810000599,0.0,0.0,0.0,,CLOSURE_TYPE!=Bank Recess AND CLOSURE_TYPE=Client Recess,,CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess,,CLOSURE_TYPE!=Inheritance AND CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess
201810001900,0.0,1.0,0.0,,CLOSURE_REASON=2 - Keep bank account. Same dip,CLOSURE_REASON=2 - Keep bank account. Same dip,,,CLOSURE_TYPE!=Inheritance AND CLOSURE_REASON=2 - Keep bank account. Same dip
201810003422,0.0,1.0,0.0,,CLOSURE_REASON=2 - Keep bank account. Same dip,CLOSURE_REASON=2 - Keep bank account. Same dip AND ACTIVITY=Service closure Request with network responsibility,,,CLOSURE_REASON=2 - Keep bank account. Same dip AND CLOSURE_TYPE!=Inheritance
201810004787,0.0,0.0,0.0,,CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE!=Bank Recess AND CLOSURE_TYPE=Client Recess,,CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess,,CLOSURE_TYPE!=Inheritance AND CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess
201810004793,0.0,0.0,0.0,,,,ROLE=BACK-OFFICE AND ROLE!=APPLICANT,,CLOSURE_TYPE!=Inheritance
201810004931,0.0,0.0,0.0,,CLOSURE_TYPE!=Bank Recess AND CLOSURE_TYPE=Client Recess,,CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess,,CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE!=Inheritance
201810004949,0.0,0.0,0.0,,CLOSURE_TYPE!=Bank Recess AND CLOSURE_TYPE=Client Recess,,CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess,,CLOSURE_TYPE!=Inheritance AND CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess
201810005363,1.0,0.0,0.0,ACTIVITY=Pending Liquidation Request AND CLOSURE_REASON!=1 - Client lost,,,ACTIVITY=Pending Liquidation Request AND CE_UO=BOF AND CLOSURE_REASON!=1 - Client lost,,ACTIVITY=Pending Liquidation Request AND CLOSURE_TYPE!=Inheritance
201810006478,0.0,0.0,0.0,,CLOSURE_TYPE!=Bank Recess,,CLOSURE_REASON=7 - Keep other relationships. Same dip,,CLOSURE_TYPE!=Inheritance
201810006511,0.0,0.0,0.0,,CLOSURE_TYPE!=Bank Recess,,CLOSURE_TYPE!=Bank Recess,,CLOSURE_TYPE!=Inheritance
201810007236,0.0,0.0,0.0,,,,CLOSURE_REASON!=1 - Client lost,,CLOSURE_TYPE!=Inheritance
201810007716,0.0,0.0,0.0,,CLOSURE_TYPE!=Bank Recess AND CLOSURE_TYPE=Client Recess,,CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess,,CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE!=Inheritance AND CLOSURE_TYPE=Client Recess
201810008058,0.0,0.0,0.0,,CLOSURE_TYPE!=Bank Recess,,CLOSURE_TYPE!=Bank Recess,,CLOSURE_TYPE!=Inheritance
201810008137,0.0,0.0,0.0,,,,ROLE=DIRECTOR AND ACTIVITY=Authorization Requested AND ROLE!=APPLICANT AND CLOSURE_REASON!=2 - Keep bank account. Same dip,,CLOSURE_TYPE!=Inheritance AND CLOSURE_REASON=1 - Client lost
201810008162,1.0,0.0,0.0,CLOSURE_TYPE=Porting,,,CLOSURE_TYPE=Porting,,CLOSURE_TYPE!=Inheritance AND CLOSURE_TYPE=Porting
201810009685,0.0,1.0,0.0,,CLOSURE_REASON=2 - Keep bank account. Same dip,CLOSURE_REASON=2 - Keep bank account. Same dip AND ACTIVITY=Service closure Request with network responsibility,,,CLOSURE_REASON=2 - Keep bank account. Same dip AND CLOSURE_TYPE!=Inheritance
201810009774,0.0,0.0,1.0,,CLOSURE_TYPE=Inheritance,,CLOSURE_TYPE=Inheritance,CLOSURE_TYPE=Inheritance,
201810011235,1.0,0.0,0.0,ACTIVITY=Pending Liquidation Request,,,ACTIVITY=Pending Liquidation Request AND CE_UO=BOF,,CLOSURE_TYPE!=Inheritance AND ACTIVITY=Pending Liquidation Request
201810011257,0.0,0.0,0.0,,CLOSURE_REASON=2 - Keep bank account. Same dip AND CLOSURE_TYPE!=Bank Recess,,ACTIVITY=Service closure Request with BO responsibility AND ROLE=BACK-OFFICE AND ROLE!=APPLICANT AND CLOSURE_REASON=2 - Keep bank account. Same dip,,CLOSURE_TYPE!=Inheritance AND CLOSURE_REASON=2 - Keep bank account. Same dip
201810011258,0.0,0.0,0.0,,CLOSURE_TYPE!=Bank Recess AND CLOSURE_TYPE=Client Recess,,CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess,,CLOSURE_TYPE!=Inheritance AND CLOSURE_TYPE=Client Recess AND CLOSURE_REASON=1 - Client lost
201811003928,0.0,1.0,1.0,,CLOSURE_TYPE=Inheritance,CLOSURE_TYPE=Inheritance,,CLOSURE_TYPE=Inheritance,
201811004173,0.0,0.0,0.0,,CLOSURE_REASON=2 - Keep bank account. Same dip AND CLOSURE_TYPE!=Bank Recess AND CLOSURE_TYPE=Client Recess,,CLOSURE_TYPE=Client Recess AND CLOSURE_TYPE!=Bank Recess AND ROLE=BACK-OFFICE,,CLOSURE_TYPE!=Inheritance
201811004769,0.0,0.0,0.0,,,,ROLE=DIRECTOR AND ACTIVITY=Authorization Requested AND ROLE!=APPLICANT,,CLOSURE_TYPE!=Inheritance AND CLOSURE_TYPE=Bank Recess AND CLOSURE_REASON=1 - Client lost
201811005420,0.0,0.0,0.0,,CLOSURE_REASON=7 - Keep other relationships. Same dip AND CLOSURE_TYPE!=Bank Recess,,CLOSURE_REASON=7 - Keep other relationships. Same dip AND CLOSURE_TYPE=Client Recess,,CLOSURE_TYPE!=Inheritance AND CLOSURE_TYPE=Client Recess
201811007324,0.0,0.0,0.0,,CLOSURE_REASON=2 - Keep bank account. Same dip AND CLOSURE_TYPE!=Bank Recess,,CLOSURE_REASON=2 - Keep bank account. Same dip,,CLOSURE_REASON=2 - Keep bank account. Same dip AND CLOSURE_TYPE!=Inheritance
201811007754,0.0,0.0,1.0,,CLOSURE_TYPE=Inheritance,,CLOSURE_TYPE=Inheritance AND ACTIVITY=Request created (-5),CLOSURE_TYPE=Inheritance AND ACTIVITY=Request created (-5),
201811008237,1.0,0.0,0.0,CLOSURE_TYPE=Porting,,,CLOSURE_TYPE=Porting,,CLOSURE_TYPE!=Inheritance AND CLOSURE_TYPE=Porting
201811009640,0.0,1.0,0.0,,CLOSURE_REASON=2 - Keep bank account. Same dip,CLOSURE_REASON=2 - Keep bank account. Same dip,,,CLOSURE_TYPE!=Inheritance AND CLOSURE_REASON=2 - Keep bank account. Same dip
201811009682,0.0,0.0,0.0,,CLOSURE_TYPE!=Bank Recess AND CLOSURE_TYPE=Client Recess AND CLOSURE_REASON=1 - Client lost,,CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess,,CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE!=Inheritance AND CLOSURE_TYPE=Client Recess
201811010647,0.0,0.0,0.0,,CLOSURE_TYPE!=Bank Recess AND CE_UO=195 (-2) AND CLOSURE_TYPE=Client Recess,,CLOSURE_TYPE=Client Recess AND CE_UO=195 (-2),,CLOSURE_TYPE!=Inheritance
201811010829,0.0,0.0,0.0,,ACTIVITY=Service closure Request with network responsibility (-2) AND ROLE=APPLICANT (-2) AND CLOSURE_REASON=1 - Client lost,,ROLE=BACK-OFFICE AND ROLE!=APPLICANT AND ACTIVITY=Service closure Request with BO responsibility,,CLOSURE_TYPE!=Inheritance AND CLOSURE_TYPE=Bank Recess
201811010975,0.0,0.0,0.0,,,,ROLE=DIRECTOR AND ACTIVITY=Authorization Requested AND ROLE!=APPLICANT,,CLOSURE_TYPE!=Inheritance AND CLOSURE_REASON=1 - Client lost
201811011149,0.0,0.0,0.0,,ACTIVITY=Service closure Request with network responsibility (-2) AND ROLE=APPLICANT (-2),,ROLE!=APPLICANT AND ROLE=BACK-OFFICE AND ACTIVITY=Service closure Request with BO responsibility AND CLOSURE_REASON!=2 - Keep bank account. Same dip,,CLOSURE_TYPE!=Inheritance AND CLOSURE_REASON=1 - Client lost
201812000158,0.0,0.0,0.0,,CLOSURE_REASON=2 - Keep bank account. Same dip AND CLOSURE_TYPE!=Bank Recess,,ACTIVITY=Service closure Request with BO responsibility AND CLOSURE_TYPE!=Bank Recess AND ROLE=BACK-OFFICE AND ROLE!=APPLICANT,,CLOSURE_TYPE!=Inheritance AND CLOSURE_REASON=2 - Keep bank account. Same dip
201812001382,0.0,1.0,0.0,,,CLOSURE_TYPE=Bank Recess,,,CLOSURE_TYPE!=Inheritance AND CLOSURE_TYPE=Bank Recess
201812002231,0.0,1.0,0.0,,CLOSURE_REASON=2 - Keep bank account. Same dip,CLOSURE_REASON=2 - Keep bank account. Same dip,,,CLOSURE_TYPE!=Inheritance
201812004657,0.0,0.0,0.0,,CLOSURE_TYPE!=Bank Recess,,CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess,,CLOSURE_TYPE!=Inheritance AND CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess
201812004749,0.0,1.0,1.0,,CLOSURE_TYPE=Inheritance,CLOSURE_TYPE=Inheritance,,CLOSURE_TYPE=Inheritance,
201812005701,1.0,0.0,0.0,CLOSURE_REASON!=1 - Client lost,,,,,CLOSURE_TYPE!=Inheritance
201812005741,1.0,0.0,0.0,CLOSURE_REASON!=1 - Client lost AND weekday=Saturday (-1),,,weekday=Saturday (-1) AND CE_UO=BOF,,CLOSURE_TYPE!=Inheritance AND CLOSURE_TYPE=Client Recess
201812006296,0.0,1.0,1.0,,CLOSURE_TYPE=Inheritance,CLOSURE_TYPE=Inheritance,,CLOSURE_TYPE=Inheritance,
201812007189,0.0,1.0,1.0,,CLOSURE_TYPE=Inheritance,CLOSURE_TYPE=Inheritance,,CLOSURE_TYPE=Inheritance,
201812007446,1.0,0.0,0.0,ACTIVITY=Pending Liquidation Request,,,ACTIVITY=Pending Liquidation Request,,CLOSURE_TYPE!=Inheritance AND ACTIVITY=Pending Liquidation Request
201812007724,0.0,0.0,0.0,,CLOSURE_TYPE!=Bank Recess AND CLOSURE_TYPE=Client Recess AND CLOSURE_REASON=1 - Client lost,,CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess,,CLOSURE_TYPE!=Inheritance AND CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess
201812007950,1.0,0.0,0.0,ACTIVITY=Pending Liquidation Request (-1) AND CLOSURE_TYPE=Client Recess AND CLOSURE_TYPE!=Inheritance,,,ACTIVITY=Pending Liquidation Request (-1) AND CLOSURE_TYPE!=Inheritance AND CLOSURE_TYPE=Client Recess,,CLOSURE_TYPE!=Inheritance AND CLOSURE_TYPE=Client Recess
201812009053,0.0,0.0,0.0,,CLOSURE_TYPE!=Bank Recess AND CLOSURE_TYPE=Client Recess,,CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess,,CLOSURE_TYPE!=Inheritance AND CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess
