CASE ID,ACTIVITY 11,Explanation
201810000288,0.0,No explanation found
201810000294,1.0,No explanation found
201810003133,0.0,ACTIVITY_ACTIVITY 8 not happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S000 not happening has predicted that ACTIVITY 11 won't be performed; 
201810003267,1.0,No explanation found
201810003451,0.0,ACTIVITY_ACTIVITY 1 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S050 happening has predicted that ACTIVITY 11 won't be performed; 
201810003700,0.0,ACTIVITY_ACTIVITY 8 not happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S000 not happening has predicted that ACTIVITY 11 won't be performed; 
201810004663,0.0,ACTIVITY_ACTIVITY 1 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S050 happening has predicted that ACTIVITY 11 won't be performed; 
201810005779,0.0,ACTIVITY_ACTIVITY 10 happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S010 happening has predicted that ACTIVITY 11 won't be performed; 
201810006187,0.0,No explanation found
201810006582,1.0,CE_UO_CE_UO 228 happening has predicted that ACTIVITY 11 will be performed; CLOSURE_TYPE_Bank Recess happening has predicted that ACTIVITY 11 will be performed; 
201810006659,0.0,ACTIVITY_ACTIVITY 1 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S050 happening has predicted that ACTIVITY 11 won't be performed; 
201810008348,0.0,ACTIVITY_ACTIVITY 1 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S050 happening has predicted that ACTIVITY 11 won't be performed; 
201810008945,0.0,No explanation found
201810009923,1.0,CLOSURE_REASON_2 - Keep bank account. Same dip happening has predicted that ACTIVITY 11 will be performed; 
201810010157,0.0,CE_UO_CE_UO 347 happening has predicted that ACTIVITY 11 won't be performed; 
201810011190,0.0,ACTIVITY_ACTIVITY 2 happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S040 happening has predicted that ACTIVITY 11 won't be performed; 
201810011662,0.0,ACTIVITY_ACTIVITY 1 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S050 happening has predicted that ACTIVITY 11 won't be performed; 
201810011824,0.0,ACTIVITY_ACTIVITY 8 not happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S000 not happening has predicted that ACTIVITY 11 won't be performed; 
201811001422,1.0,No explanation found
201811001881,0.0,ACTIVITY_ACTIVITY 2 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S040 happening has predicted that ACTIVITY 11 won't be performed; 
201811002347,0.0,ACTIVITY_ACTIVITY 10 happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S010 happening has predicted that ACTIVITY 11 won't be performed; 
201811002692,0.0,ACTIVITY_ACTIVITY 10 happening has predicted that ACTIVITY 11 won't be performed; CLOSURE_TYPE_Bank Recess happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S010 happening has predicted that ACTIVITY 11 won't be performed; 
201811003872,0.0,CE_UO_CE_UO 1 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; 
201811004588,0.0,CLOSURE_TYPE_Inheritance not happening has predicted that ACTIVITY 11 won't be performed; CLOSURE_TYPE_Porting happening has predicted that ACTIVITY 11 won't be performed; 
201811005454,1.0,No explanation found
201811005674,0.0,ACTIVITY_ACTIVITY 2 happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S040 happening has predicted that ACTIVITY 11 won't be performed; 
201811006641,0.0,CE_UO_CE_UO 295 happening has predicted that ACTIVITY 11 won't be performed; 
201811006799,1.0,No explanation found
201811007577,0.0,CE_UO_CE_UO 1 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; 
201811007817,0.0,ACTIVITY_ACTIVITY 1 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S050 happening has predicted that ACTIVITY 11 won't be performed; 
201811008253,0.0,CLOSURE_TYPE_Bank Recess happening has predicted that ACTIVITY 11 won't be performed; CLOSURE_TYPE_Inheritance not happening has predicted that ACTIVITY 11 won't be performed; 
201811008697,0.0,CLOSURE_REASON_1 - Client lost not happening has predicted that ACTIVITY 11 won't be performed; 
201811010935,0.0,ACTIVITY_ACTIVITY 2 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S040 happening has predicted that ACTIVITY 11 won't be performed; 
201812000300,0.0,ACTIVITY_ACTIVITY 2 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S040 happening has predicted that ACTIVITY 11 won't be performed; 
201812000764,1.0,No explanation found
201812001131,0.0,ACTIVITY_ACTIVITY 10 happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S010 happening has predicted that ACTIVITY 11 won't be performed; 
201812001654,0.0,CE_UO_CE_UO 1 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; 
201812002063,0.0,ACTIVITY_ACTIVITY 1 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S050 happening has predicted that ACTIVITY 11 won't be performed; 
201812002216,0.0,ACTIVITY_ACTIVITY 10 happening has predicted that ACTIVITY 11 won't be performed; CLOSURE_TYPE_Bank Recess happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S010 happening has predicted that ACTIVITY 11 won't be performed; 
201812002231,0.0,CLOSURE_TYPE_Bank Recess not happening has predicted that ACTIVITY 11 won't be performed; CLOSURE_REASON_1 - Client lost not happening has predicted that ACTIVITY 11 won't be performed; WORKING_STATE_Completed not happening has predicted that ACTIVITY 11 won't be performed; GENERAL_STATE_Conclusa regolarmente not happening has predicted that ACTIVITY 11 won't be performed; 
201812002625,0.0,ACTIVITY_ACTIVITY 1 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S050 happening has predicted that ACTIVITY 11 won't be performed; 
201812004323,0.0,ACTIVITY_ACTIVITY 2 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S040 happening has predicted that ACTIVITY 11 won't be performed; 
201812005876,1.0,CLOSURE_TYPE_Bank Recess happening has predicted that ACTIVITY 11 will be performed; 
201812006190,0.0,ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; 
201812006837,0.0,CE_UO_CE_UO 404 happening has predicted that ACTIVITY 11 won't be performed; 
201812007383,0.0,ACTIVITY_ACTIVITY 8 not happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S000 not happening has predicted that ACTIVITY 11 won't be performed; 
201812007701,1.0,No explanation found
201812007842,0.0,ACTIVITY_ACTIVITY 1 happening has predicted that ACTIVITY 11 won't be performed; ROLE_BACK-OFFICE happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S050 happening has predicted that ACTIVITY 11 won't be performed; 
201812008453,1.0,WORKING_STATE_Completed not happening has predicted that ACTIVITY 11 will be performed; 
201812009753,0.0,ACTIVITY_ACTIVITY 2 happening has predicted that ACTIVITY 11 won't be performed; CE_STATE_S040 happening has predicted that ACTIVITY 11 won't be performed; 
